age,workclass,education,marital-status,occupation,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,years_experience,skills,salary_in_inr
58,Federal-gov,Masters,Separated,AI Engineer,Asian-Pac-Islander,Other,7749,1444,59,Germany,<=50K,20,"PyTorch, NLP, Python",1482720
54,Local-gov,PhD,Never-married,Business Analyst,White,Other,7486,31,53,United States,>50K,20,"SQL, Excel, Problem Solving",1123680
43,Local-gov,Associate,Separated,ML Engineer,Asian-Pac-Islander,Other,8742,778,60,Canada,>50K,15,"MLflow, Python, XGBoost",1183630
37,State-gov,Associate,Divorced,Data Analyst,White,Female,1612,1557,50,China,>50K,14,"Excel, Power BI, SQL",861098
42,Private,PhD,Divorced,Web Developer,Amer-Indian-Eskimo,Male,4000,1087,43,Australia,>50K,5,"CSS, Node.js, HTML",749855
46,Local-gov,Associate,Married-civ-spouse,Business Analyst,Other,Male,3804,944,50,Canada,>50K,0,"Presentation, Power BI, Problem Solving",750000
32,Private,HS-grad,Divorced,Software Developer,Amer-Indian-Eskimo,Other,4097,935,57,Canada,<=50K,12,"Spring, Java, Git",1069952
58,Self-emp-inc,Some-college,Divorced,Software Developer,White,Other,6484,562,30,Australia,>50K,1,"Git, Spring, C++",817540
60,Self-emp-inc,Masters,Married-civ-spouse,Software Developer,Black,Other,1591,1850,50,China,<=50K,14,"Java, Python, Spring",1000284
27,Self-emp-inc,PhD,Separated,Data Scientist,Black,Male,8837,1794,41,Australia,>50K,8,"R, SQL, Statistics",1257368
43,Private,HS-grad,Never-married,Data Scientist,Black,Other,6511,1980,57,Australia,<=50K,12,"Python, SQL, Machine Learning",1268588
51,Self-emp-inc,Associate,Divorced,System Admin,Asian-Pac-Islander,Male,3830,965,30,Australia,>50K,17,"Shell Scripting, Networking, Docker",755207
51,State-gov,PhD,Separated,ML Engineer,Black,Male,609,623,45,India,<=50K,17,"Scikit-learn, Pandas, MLflow",1376669
56,Federal-gov,Some-college,Married-civ-spouse,System Admin,White,Female,6686,1923,60,Canada,<=50K,11,"Networking, AWS, Docker",745096
45,Private,Associate,Divorced,Web Developer,White,Female,4520,388,60,India,>50K,14,"HTML, CSS, JavaScript",1013938
23,Private,PhD,Married-civ-spouse,Data Scientist,Other,Male,1124,1699,54,Australia,<=50K,6,"R, SQL, Python",1277174
22,Self-emp-inc,Masters,Married-civ-spouse,Software Developer,Black,Male,422,269,30,Canada,>50K,7,"Git, Python, Java",909963
38,Private,Masters,Separated,ML Engineer,White,Female,7344,1593,41,Australia,>50K,14,"MLflow, Scikit-learn, XGBoost",1159880
55,Self-emp-inc,HS-grad,Never-married,AI Engineer,Amer-Indian-Eskimo,Female,6984,1405,33,Germany,>50K,14,"Python, Deep Learning, PyTorch",1619048
31,Private,Masters,Divorced,Web Developer,Amer-Indian-Eskimo,Other,8692,603,44,Australia,>50K,3,"HTML, CSS, React",674388
36,Federal-gov,PhD,Separated,System Admin,Amer-Indian-Eskimo,Other,1557,640,43,Canada,>50K,11,"Networking, AWS, Linux",692879
27,Private,HS-grad,Never-married,Web Developer,Black,Other,982,1201,60,Australia,>50K,3,"React, JavaScript, Node.js",671574
25,Self-emp-inc,Some-college,Divorced,Web Developer,White,Other,8313,435,34,China,>50K,3,"JavaScript, Node.js, HTML",657384
58,Self-emp-not-inc,HS-grad,Widowed,AI Engineer,Other,Other,4381,59,35,Canada,>50K,9,"TensorFlow, Deep Learning, Python",1343496
31,Local-gov,Associate,Separated,ML Engineer,Black,Other,502,187,53,Australia,<=50K,13,"Pandas, XGBoost, Python",1287625
41,State-gov,PhD,Widowed,ML Engineer,White,Male,2579,1545,49,India,>50K,8,"Pandas, MLflow, Scikit-learn",1239136
50,Federal-gov,PhD,Married-civ-spouse,ML Engineer,Asian-Pac-Islander,Female,1816,580,51,China,>50K,16,"XGBoost, Python, Pandas",1367216
60,Private,Bachelors,Married-civ-spouse,Software Developer,Black,Male,4186,592,40,India,<=50K,13,"C++, Git, Spring",1156863
36,Local-gov,Some-college,Divorced,ML Engineer,Amer-Indian-Eskimo,Other,693,893,30,Germany,>50K,10,"MLflow, Pandas, XGBoost",1232520
48,Self-emp-inc,Bachelors,Separated,AI Engineer,Asian-Pac-Islander,Male,7538,1703,52,Canada,<=50K,3,"PyTorch, NLP, TensorFlow",1269363
55,Private,HS-grad,Divorced,Web Developer,Black,Female,2754,156,46,China,<=50K,16,"CSS, JavaScript, Node.js",837424
37,Private,Masters,Divorced,Data Analyst,Black,Other,2504,1556,54,China,<=50K,20,"Tableau, Python, Power BI",1279760
50,State-gov,Some-college,Widowed,Web Developer,Asian-Pac-Islander,Male,7205,139,45,Germany,>50K,8,"Node.js, HTML, CSS",812992
26,Self-emp-inc,HS-grad,Separated,AI Engineer,White,Female,4703,157,50,India,>50K,16,"NLP, Deep Learning, TensorFlow",1650608
24,Federal-gov,Some-college,Married-civ-spouse,Web Developer,Other,Female,8214,308,60,India,>50K,10,"HTML, CSS, Node.js",781180
50,Federal-gov,Some-college,Widowed,Data Scientist,Asian-Pac-Islander,Female,4634,793,43,Canada,>50K,1,"SQL, Python, R",1113096
57,State-gov,HS-grad,Divorced,Software Developer,Other,Male,5461,166,48,China,<=50K,11,"Python, Spring, Java",1124478
27,Self-emp-inc,Some-college,Separated,Web Developer,Black,Other,8624,191,50,China,>50K,11,"HTML, JavaScript, CSS",774966
35,Self-emp-inc,HS-grad,Married-civ-spouse,Data Analyst,Black,Male,1264,605,57,India,>50K,17,"Python, SQL, Power BI",1057595
30,Local-gov,HS-grad,Married-civ-spouse,Data Scientist,Black,Other,2712,1476,44,India,>50K,7,"Machine Learning, SQL, Statistics",1272970
36,Local-gov,Masters,Divorced,Business Analyst,Black,Female,9345,902,44,Canada,>50K,16,"Problem Solving, Presentation, Excel",1014688
60,Self-emp-not-inc,PhD,Never-married,Business Analyst,Asian-Pac-Islander,Other,1680,1456,57,Australia,>50K,9,"Excel, SQL, Presentation",972507
54,Self-emp-not-inc,HS-grad,Never-married,Data Analyst,Amer-Indian-Eskimo,Female,436,849,31,Germany,>50K,7,"Tableau, SQL, Excel",821499
23,Self-emp-inc,Bachelors,Divorced,Data Scientist,Black,Male,4700,1878,56,Germany,>50K,4,"Machine Learning, Statistics, SQL",1140688
27,Private,PhD,Married-civ-spouse,Data Scientist,Other,Other,9975,1080,43,India,>50K,7,"SQL, Python, Machine Learning",1224691
48,State-gov,Some-college,Separated,ML Engineer,White,Female,9776,1097,30,China,>50K,7,"Scikit-learn, XGBoost, MLflow",1070357
44,Self-emp-not-inc,Some-college,Separated,Data Scientist,White,Other,5908,138,60,Australia,>50K,16,"Statistics, Python, R",1506480
24,State-gov,HS-grad,Divorced,Software Developer,White,Female,1106,706,37,China,>50K,3,"Git, Python, Java",834356
44,Local-gov,PhD,Married-civ-spouse,Business Analyst,Amer-Indian-Eskimo,Other,2986,1661,34,India,>50K,14,"Excel, Power BI, Problem Solving",910090
34,Private,PhD,Divorced,System Admin,Other,Female,4150,74,54,China,<=50K,11,"Linux, Shell Scripting, Networking",704858
45,Federal-gov,HS-grad,Separated,System Admin,Asian-Pac-Islander,Male,8129,1417,45,Canada,>50K,16,"Shell Scripting, Linux, Docker",932560
27,Federal-gov,Some-college,Married-civ-spouse,Software Developer,Asian-Pac-Islander,Male,1311,671,51,Canada,<=50K,19,"Spring, C++, Python",1266355
44,Federal-gov,Bachelors,Divorced,System Admin,Asian-Pac-Islander,Other,939,153,51,China,>50K,16,"Networking, Linux, AWS",1028528
50,Private,Masters,Never-married,Data Analyst,Asian-Pac-Islander,Female,6272,1944,48,India,>50K,14,"Power BI, Python, Excel",875266
58,Self-emp-not-inc,Some-college,Divorced,System Admin,Asian-Pac-Islander,Other,4566,511,60,India,<=50K,5,"AWS, Docker, Shell Scripting",619290
38,Self-emp-inc,Associate,Separated,Data Analyst,Other,Female,8047,409,33,United States,>50K,14,"Excel, Tableau, SQL",986608
44,State-gov,Bachelors,Widowed,Software Developer,Asian-Pac-Islander,Male,2852,1625,41,Australia,<=50K,6,"C++, Git, Spring",865166
45,Local-gov,Some-college,Divorced,Business Analyst,Other,Male,1412,134,39,Germany,>50K,15,"Problem Solving, Presentation, SQL",1182570
26,Self-emp-not-inc,PhD,Never-married,Business Analyst,Amer-Indian-Eskimo,Other,8476,705,34,Australia,>50K,5,"SQL, Presentation, Power BI",809075
29,Local-gov,Masters,Divorced,Data Scientist,Black,Female,3694,708,60,Australia,>50K,2,"SQL, R, Statistics",1156098
39,Self-emp-not-inc,Associate,Divorced,ML Engineer,Other,Other,2762,1212,60,Australia,<=50K,19,"MLflow, XGBoost, Pandas",1215631
23,Private,Bachelors,Widowed,Software Developer,Black,Other,6825,1265,50,India,>50K,20,"Git, Python, Spring",1197980
52,Self-emp-not-inc,Associate,Separated,Software Developer,Amer-Indian-Eskimo,Male,981,323,44,Germany,>50K,6,"Python, C++, Spring",922778
44,Federal-gov,Masters,Divorced,ML Engineer,Asian-Pac-Islander,Male,7642,250,38,Germany,<=50K,3,"Python, XGBoost, Scikit-learn",1071103
37,Self-emp-not-inc,PhD,Widowed,Web Developer,Black,Male,8163,1054,44,Germany,>50K,15,"HTML, Node.js, CSS",998430
51,Self-emp-not-inc,Masters,Widowed,Web Developer,White,Male,4609,1013,49,China,>50K,9,"Node.js, HTML, React",817080
30,Self-emp-inc,Associate,Divorced,System Admin,Asian-Pac-Islander,Male,6563,104,48,Australia,<=50K,17,"Shell Scripting, Linux, Networking",1000891
50,Local-gov,PhD,Widowed,ML Engineer,Black,Male,6453,764,55,Canada,>50K,11,"Scikit-learn, MLflow, XGBoost",1293502
47,Local-gov,Bachelors,Never-married,AI Engineer,Black,Other,5456,1646,45,Australia,>50K,19,"Deep Learning, PyTorch, NLP",1588303
32,Federal-gov,Some-college,Divorced,Web Developer,Other,Other,8721,1003,52,Australia,<=50K,0,"JavaScript, Node.js, React",600000
48,Local-gov,PhD,Never-married,Business Analyst,Asian-Pac-Islander,Other,9477,1182,37,China,<=50K,15,"SQL, Presentation, Excel",1019040
24,Local-gov,Associate,Never-married,Data Analyst,White,Female,5139,857,34,Germany,>50K,13,"Python, Tableau, Power BI",856520
30,Local-gov,Masters,Widowed,Web Developer,Amer-Indian-Eskimo,Other,6173,642,60,United States,>50K,17,"JavaScript, Node.js, React",917254
52,Self-emp-not-inc,Masters,Divorced,Software Developer,Black,Female,4735,1443,36,China,>50K,10,"Spring, Python, Git",989600
40,Private,Some-college,Widowed,System Admin,Amer-Indian-Eskimo,Female,2399,594,31,Canada,>50K,2,"Shell Scripting, AWS, Docker",586806
52,Self-emp-not-inc,Masters,Widowed,Software Developer,Other,Other,4450,281,33,Australia,>50K,7,"C++, Java, Python",991807
36,State-gov,Masters,Never-married,ML Engineer,Amer-Indian-Eskimo,Female,7739,205,51,United States,<=50K,17,"Scikit-learn, Pandas, XGBoost",1434979
52,State-gov,Masters,Divorced,Web Developer,Asian-Pac-Islander,Other,969,1859,54,India,>50K,7,"Node.js, HTML, React",765851
33,Private,HS-grad,Separated,Data Scientist,Asian-Pac-Islander,Male,151,611,48,Australia,<=50K,10,"SQL, Machine Learning, Statistics",1378020
55,Federal-gov,Masters,Widowed,Business Analyst,Asian-Pac-Islander,Male,1845,677,35,China,>50K,8,"SQL, Excel, Power BI",918368
40,Local-gov,Associate,Married-civ-spouse,Data Scientist,Other,Other,6643,1693,43,Australia,<=50K,12,"Python, R, Statistics",1407740
42,Self-emp-not-inc,Bachelors,Divorced,System Admin,Black,Female,4374,1953,40,Canada,>50K,18,"Linux, Shell Scripting, AWS",942058
37,Private,Associate,Never-married,Business Analyst,Asian-Pac-Islander,Male,6642,1405,46,China,>50K,3,"Power BI, Problem Solving, Presentation",801708
36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Business Analyst,Other,Female,6813,1437,47,Germany,>50K,6,"SQL, Excel, Power BI",897834
55,State-gov,PhD,Never-married,ML Engineer,White,Other,8281,414,48,Australia,<=50K,10,"MLflow, Pandas, Python",1167300
59,Federal-gov,Bachelors,Widowed,Business Analyst,White,Female,2161,1051,43,Germany,>50K,17,"Presentation, Power BI, Problem Solving",932121
47,Self-emp-inc,Bachelors,Married-civ-spouse,ML Engineer,White,Female,5644,1434,32,Australia,>50K,2,"Pandas, Python, Scikit-learn",1046794
33,Self-emp-not-inc,Associate,Separated,Web Developer,Amer-Indian-Eskimo,Female,6184,769,32,China,>50K,17,"CSS, JavaScript, HTML",869416
56,Federal-gov,Some-college,Married-civ-spouse,Data Analyst,White,Male,4888,948,51,China,>50K,17,"Tableau, Excel, SQL",1126581
44,Self-emp-not-inc,PhD,Married-civ-spouse,ML Engineer,White,Other,6868,1259,54,India,<=50K,2,"Python, MLflow, Scikit-learn",1059176
25,Self-emp-not-inc,Associate,Never-married,System Admin,Amer-Indian-Eskimo,Male,8843,444,54,India,<=50K,9,"Networking, Shell Scripting, AWS",816328
42,Self-emp-not-inc,PhD,Married-civ-spouse,Data Analyst,Amer-Indian-Eskimo,Female,4508,124,47,Australia,>50K,5,"Tableau, Python, SQL",806425
46,Local-gov,PhD,Separated,System Admin,Black,Female,6167,376,54,Australia,>50K,7,"Shell Scripting, Networking, AWS",633216
57,Federal-gov,HS-grad,Widowed,Data Scientist,Amer-Indian-Eskimo,Male,4177,416,40,China,<=50K,14,"SQL, Python, Statistics",1327374
25,Self-emp-inc,HS-grad,Widowed,AI Engineer,White,Male,9626,1483,51,Australia,<=50K,6,"TensorFlow, Deep Learning, Python",1301640
34,State-gov,Bachelors,Separated,Data Analyst,Other,Other,3350,812,59,United States,>50K,9,"Tableau, Python, Power BI",895948
41,Self-emp-inc,PhD,Widowed,Business Analyst,Amer-Indian-Eskimo,Male,7692,1559,56,Canada,>50K,11,"Power BI, Presentation, Excel",1062752
36,State-gov,Masters,Never-married,Software Developer,Other,Other,9488,1474,43,Canada,<=50K,10,"C++, Spring, Python",980520
53,Local-gov,Associate,Divorced,Software Developer,Amer-Indian-Eskimo,Other,8037,943,35,China,>50K,5,"C++, Spring, Java",938820
25,Local-gov,Bachelors,Never-married,AI Engineer,White,Female,2252,1725,50,United States,<=50K,4,"Python, PyTorch, TensorFlow",1299768
45,Private,Some-college,Widowed,Business Analyst,Amer-Indian-Eskimo,Male,108,1089,47,Germany,<=50K,16,"Power BI, Problem Solving, Excel",1173296
49,Self-emp-not-inc,Bachelors,Never-married,Data Scientist,Black,Male,8625,516,56,Canada,<=50K,12,"Python, SQL, R",1400480
58,Self-emp-not-inc,Associate,Married-civ-spouse,Software Developer,White,Other,519,191,42,Germany,<=50K,15,"Java, Git, Python",1034225
27,Federal-gov,HS-grad,Divorced,ML Engineer,Other,Male,3764,432,58,China,>50K,15,"XGBoost, Python, Pandas",1287805
56,Local-gov,Associate,Never-married,Data Scientist,Asian-Pac-Islander,Male,3394,1202,34,China,>50K,2,"SQL, R, Statistics",1135758
58,Federal-gov,Associate,Widowed,Web Developer,Amer-Indian-Eskimo,Other,2292,1618,52,China,<=50K,11,"HTML, Node.js, CSS",793666
26,Self-emp-inc,Some-college,Widowed,System Admin,Asian-Pac-Islander,Male,4478,1604,44,Germany,<=50K,17,"AWS, Docker, Linux",1046349
46,Private,Some-college,Divorced,Data Analyst,White,Male,4390,315,42,China,>50K,4,"Tableau, Power BI, Excel",753964
27,Private,PhD,Separated,Web Developer,Asian-Pac-Islander,Male,2170,178,35,Germany,>50K,17,"Node.js, React, HTML",784620
27,Self-emp-inc,Some-college,Never-married,Web Developer,Amer-Indian-Eskimo,Male,4781,847,42,India,>50K,17,"CSS, Node.js, JavaScript",982075
32,Self-emp-not-inc,PhD,Divorced,Software Developer,Amer-Indian-Eskimo,Male,1036,342,43,Canada,>50K,15,"Java, Python, C++",1071200
53,Local-gov,Some-college,Married-civ-spouse,Business Analyst,White,Male,4991,13,60,Germany,<=50K,19,"Presentation, Power BI, SQL",1148392
49,State-gov,Some-college,Married-civ-spouse,Software Developer,Asian-Pac-Islander,Other,3290,981,40,United States,>50K,10,"Python, Spring, Git",979430
42,Federal-gov,PhD,Separated,Web Developer,White,Other,3273,1212,47,United States,>50K,17,"HTML, React, JavaScript",886773
50,Self-emp-inc,Associate,Never-married,System Admin,Amer-Indian-Eskimo,Male,4961,495,38,China,<=50K,13,"AWS, Linux, Networking",934709
52,Local-gov,HS-grad,Widowed,System Admin,Other,Male,5890,1436,58,Australia,>50K,2,"Linux, Networking, Shell Scripting",593264
32,State-gov,Some-college,Never-married,System Admin,Asian-Pac-Islander,Female,1735,21,33,Canada,<=50K,16,"Docker, Networking, AWS",906144
47,Federal-gov,Associate,Widowed,Data Scientist,Asian-Pac-Islander,Male,7909,214,39,Germany,>50K,2,"Python, R, Machine Learning",1140440
43,Federal-gov,Masters,Widowed,Business Analyst,Asian-Pac-Islander,Female,1599,897,53,China,>50K,2,"Power BI, Excel, Problem Solving",777542
23,Self-emp-inc,Associate,Never-married,Data Scientist,Black,Other,2858,1130,35,Canada,>50K,14,"R, Machine Learning, SQL",1324616
33,State-gov,Associate,Separated,System Admin,White,Other,3232,920,48,Germany,<=50K,6,"Networking, Shell Scripting, AWS",622300
58,Private,Some-college,Married-civ-spouse,Web Developer,Asian-Pac-Islander,Male,7496,233,38,China,>50K,16,"JavaScript, React, Node.js",965792
59,Private,PhD,Divorced,Business Analyst,Other,Male,4873,1881,49,Australia,<=50K,4,"Power BI, Excel, Presentation",830024
29,Self-emp-not-inc,PhD,Married-civ-spouse,System Admin,Amer-Indian-Eskimo,Other,2258,1177,42,Germany,<=50K,20,"Docker, Networking, Shell Scripting",859340
53,Self-emp-inc,Masters,Married-civ-spouse,Web Developer,Amer-Indian-Eskimo,Other,878,1772,41,India,>50K,6,"React, Node.js, CSS",756672
48,State-gov,HS-grad,Separated,Data Scientist,White,Other,505,1629,54,United States,<=50K,8,"R, SQL, Python",1299880
58,State-gov,HS-grad,Widowed,ML Engineer,Other,Male,4389,1587,47,Canada,>50K,1,"Pandas, Scikit-learn, MLflow",1013355
37,Self-emp-inc,Bachelors,Separated,Software Developer,Asian-Pac-Islander,Male,7193,1772,33,United States,<=50K,18,"Python, Spring, Java",1062116
35,Self-emp-not-inc,Bachelors,Widowed,Web Developer,Other,Female,9778,1103,35,Canada,>50K,9,"JavaScript, Node.js, React",718080
30,Federal-gov,Bachelors,Divorced,Data Scientist,Black,Male,2396,1456,40,United States,>50K,12,"Machine Learning, R, SQL",1325660
48,Federal-gov,HS-grad,Never-married,ML Engineer,Amer-Indian-Eskimo,Other,4558,1422,59,Canada,>50K,15,"XGBoost, Python, MLflow",1195780
51,State-gov,Associate,Divorced,ML Engineer,Other,Female,3568,1982,43,United States,>50K,10,"XGBoost, MLflow, Pandas",1289370
